pitch,channel,on,off
69,0,0.0,0.22858719531249996
72,0,0.22858719531249996,0.34288079296874996
71,0,0.34288079296874996,0.4571743906249999
72,0,0.4571743906249999,0.5714679882812499
69,0,0.5714679882812499,0.6857615859374999
71,0,0.6857615859374999,0.9143487812499999
64,0,0.9143487812499999,1.0286423789062498
71,0,1.0286423789062498,1.1429359765624998
76,0,1.1429359765624998,1.2572295742187498
71,0,1.2572295742187498,1.3715231718749998
72,0,1.3715231718749998,1.6001103671874997
69,0,1.6001103671874997,1.8286975624999997
76,0,1.8286975624999997,2.0572847578124995
77,0,2.0572847578124995,2.1715783554687498
76,0,2.1715783554687498,2.2858719531249996
77,0,2.2858719531249996,2.40016555078125
74,0,2.40016555078125,2.5144591484374996
77,0,2.5144591484374996,2.6287527460937494
72,0,2.6287527460937494,2.7430463437499997
77,0,2.7430463437499997,2.8573399414062495
74,0,2.8573399414062495,2.9716335390624997
77,0,2.9716335390624997,3.0859271367187495
71,0,3.0859271367187495,3.2002207343749993
77,0,3.2002207343749993,3.3145143320312496
67,0,3.3145143320312496,3.4288079296874994
76,0,3.4288079296874994,3.5431015273437496
74,0,3.5431015273437496,3.6573951249999994
76,0,3.6573951249999994,3.771688722656249
72,0,3.771688722656249,3.8859823203124995
76,0,3.8859823203124995,4.000275917968749
71,0,4.000275917968749,4.114569515624999
76,0,4.114569515624999,4.22886311328125
72,0,4.22886311328125,4.3431567109374996
76,0,4.3431567109374996,4.457450308593749
69,0,4.457450308593749,4.571743906249999
76,0,4.571743906249999,4.686037503906249
65,0,4.686037503906249,4.8003311015625
74,0,4.8003311015625,4.9146246992187494
72,0,4.9146246992187494,5.028918296874999
74,0,5.028918296874999,5.143211894531249
71,0,5.143211894531249,5.257505492187499
74,0,5.257505492187499,5.3717990898437495
69,0,5.3717990898437495,5.486092687499999
74,0,5.486092687499999,5.600386285156249
71,0,5.600386285156249,5.714679882812499
74,0,5.714679882812499,5.828973480468749
68,0,5.828973480468749,5.943267078124999
74,0,5.943267078124999,6.057560675781249
64,0,6.057560675781249,6.171854273437499
72,0,6.171854273437499,6.286147871093749
69,0,6.286147871093749,6.400441468749999
72,0,6.400441468749999,6.514735066406249
76,0,6.514735066406249,6.629028664062499
81,0,6.629028664062499,6.743322261718749
78,0,6.743322261718749,6.857615859374999
64,1,6.857615859374999,7.086203054687499
