index,x,y,snippet,href
1,17.007,12.403,a,textedit:///work/1_voice_soprano_part.ly:2:2:3
2,20.962,11.403,c,textedit:///work/1_voice_soprano_part.ly:2:5:6
3,23.466,11.903,b,textedit:///work/1_voice_soprano_part.ly:2:9:10
4,25.97,11.403,c,textedit:///work/1_voice_soprano_part.ly:2:11:12
5,28.224,12.403,a,textedit:///work/1_voice_soprano_part.ly:2:13:14
6,30.728,11.903,b,textedit:///work/1_voice_soprano_part.ly:2:15:16
7,34.183,13.903,"e,",textedit:///work/1_voice_soprano_part.ly:2:18:19
8,36.937,11.903,b',textedit:///work/1_voice_soprano_part.ly:2:23:24
9,39.691,10.403,e,textedit:///work/1_voice_soprano_part.ly:2:26:27
10,41.945,11.903,b,textedit:///work/1_voice_soprano_part.ly:2:28:29
11,45.703,11.403,c,textedit:///work/1_voice_soprano_part.ly:3:2:3
12,49.157,12.403,a,textedit:///work/1_voice_soprano_part.ly:3:5:6
13,53.111,10.403,e',textedit:///work/1_voice_soprano_part.ly:3:7:8
14,56.815,9.903,f,textedit:///work/1_voice_soprano_part.ly:3:10:11
15,59.319,10.403,e,textedit:///work/1_voice_soprano_part.ly:3:14:15
16,61.824,9.903,f,textedit:///work/1_voice_soprano_part.ly:3:16:17
17,64.078,10.903,d,textedit:///work/1_voice_soprano_part.ly:3:18:19
18,66.832,9.903,f,textedit:///work/1_voice_soprano_part.ly:3:20:21
19,69.086,11.403,c,textedit:///work/1_voice_soprano_part.ly:3:22:23
20,72.567,9.903,f,textedit:///work/1_voice_soprano_part.ly:4:2:3
21,74.821,10.903,d,textedit:///work/1_voice_soprano_part.ly:4:4:5
22,77.575,9.903,f,textedit:///work/1_voice_soprano_part.ly:4:6:7
23,79.829,11.903,"b,",textedit:///work/1_voice_soprano_part.ly:4:8:9
24,82.584,9.903,f',textedit:///work/1_voice_soprano_part.ly:4:11:12
25,84.838,12.903,"g,",textedit:///work/1_voice_soprano_part.ly:4:14:15
